epoch,method,batch_size,learning_rate,train_loss,test_accuracy,epoch_time
1,static,128,0.1,0.48338850211105877,85.61,12.441125392913818
2,static,128,0.1,0.2858271126681045,90.07,11.448659181594849
3,static,128,0.1,0.2479984141838576,87.21,11.545814752578735
4,static,128,0.1,0.22879233965868634,90.55,11.521748542785645
5,static,128,0.1,0.21463685249214742,90.41,12.5102379322052
6,static,128,0.1,0.2094571073172189,91.0,11.509667158126831
7,static,128,0.1,0.20336231208050937,91.08,11.531278610229492
8,static,128,0.1,0.1963545572497189,90.88,11.544341325759888
9,static,128,0.1,0.19471611594086263,91.31,11.555516958236694
10,static,128,0.1,0.1924745271931579,91.53,11.585928678512573
11,static,128,0.1,0.18439133660689092,91.4,11.516541481018066
12,static,128,0.1,0.1881438481496341,91.68,11.555016279220581
13,static,128,0.1,0.18131711114761925,91.27,11.523820638656616
14,static,128,0.1,0.1792466686859822,90.46,11.616342067718506
15,static,128,0.1,0.17805430196177985,90.17,11.558385133743286
16,static,128,0.1,0.1746442013267261,91.1,11.557041645050049
17,static,128,0.1,0.17434358205209408,90.78,11.499967575073242
18,static,128,0.1,0.17372673850006132,91.36,11.571960926055908
19,static,128,0.1,0.17057311614312087,90.34,11.52163577079773
20,static,128,0.1,0.17160310378588084,92.09,11.483428955078125
21,static,128,0.025,0.10147084080493018,93.35,11.57130241394043
22,static,128,0.025,0.07366376208153361,93.34,11.57252311706543
23,static,128,0.025,0.05959715764087909,92.52,11.513460397720337
24,static,128,0.025,0.054534156129622,92.17,11.553356409072876
25,static,128,0.025,0.054066932218065904,92.1,11.549025297164917
26,static,128,0.025,0.05564263363632915,91.99,11.555599451065063
27,static,128,0.025,0.0566276306095821,92.65,11.539769649505615
28,static,128,0.025,0.057417034149678275,91.69,11.563495635986328
29,static,128,0.025,0.05397191350417795,91.77,11.583725452423096
30,static,128,0.025,0.05574874537411148,91.5,11.52131462097168
31,static,128,0.025,0.05399093050946559,92.08,11.53860354423523
32,static,128,0.025,0.05496341117353899,91.51,11.556169509887695
33,static,128,0.025,0.054500811052188944,92.29,11.528126239776611
34,static,128,0.025,0.052834426257401895,90.8,11.545628309249878
35,static,128,0.025,0.04489128420085731,89.33,11.534809589385986
36,static,128,0.025,0.05200384450413144,91.91,11.55762767791748
37,static,128,0.025,0.0480062163917463,92.0,11.531924962997437
38,static,128,0.025,0.051368822432013905,92.39,11.539145469665527
39,static,128,0.025,0.048048428974664416,91.74,11.564148664474487
40,static,128,0.025,0.053729760486370466,91.51,11.547922134399414
41,static,128,0.00625,0.01694018064664482,93.29,11.526738166809082
42,static,128,0.00625,0.005546482429201248,93.38,11.514318704605103
